Symbol,Year,Target_Fraud,fraud_score,risk_level,pred_onto,f_accrual,f_noncore,f_shell,f_pump,f_rec,f_cash,f_lev,f_triangle,f_inv_anomaly,accrual_ratio,noncore_ratio,shell_ratio,rec_manip_ratio,cash_crunch_ratio,leverage_ratio,Delta_Gross_Margin,Delta_Leverage,Delta_Inv,Delta_Rev,Leverage,Rev,COGS,Gross_Profit,Selling_Exp,Admin_Exp,Net_Profit,ST_Assets,Rec,Inv,Fixed_Assets,Total_Assets,ST_Debt,LT_Debt,Total_Liabilities,n_1.owners_capital,Owners_Equity,depreciation_of_fixed_assets_and_properties_investment,Operating_Cash_Flow,Short_Term_Ratio
AMD,2021,1,1.95,MediumRisk,0,1,0,0,0,0,0,0,0,0,0.0155660191250141,-1.3664550803222897,0.7227644392166385,-0.4996583109136712,0.0735357351679333,0.3137124338098234,-0.0518301036618463,-0.0655761123440415,0.5331196569156152,0.3682912711626453,0.3137124338098234,1534374727.0,1489321064.0,45053663.0,8808081.0,9951928.0,11110988.0,2026587835.0,1538744231.0,443481859.0,232175392.0,2597137950.0,603267852.0,16924548.0,620192400.0,1635048740.0,1976945550.0,33018123.0,-29316111.0,3.36
ANV,2023,0,1.95,MediumRisk,0,1,0,0,0,0,0,0,0,0,0.0236466701530627,-3.67746694480418,0.2932701195124612,-0.0571984340172033,0.1115914734532927,0.7952631081592639,-0.1719492678098116,-0.1017764707515878,0.0057853361326774,-0.0934362642972935,0.7952631081592639,4439122633.0,3991672291.0,447450342.0,188416893.0,75715825.0,39191645.0,2950604371.0,369116044.0,2346798786.0,1031788418.0,5112670123.0,2103113560.0,161689808.0,2264803368.0,1335396250.0,2847866756.0,114534603.0,-81705979.0,1.4
ANV,2024,0,1.95,MediumRisk,0,0,0,0,0,1,0,0,0,0,-0.1399690328788901,-3.060735541729715,0.3609558693829959,0.3883832600682941,0.1960853093949728,0.738578056988924,0.013302297350222,-0.0566850511703399,-0.2955159897547347,0.1063596072994543,0.738578056988924,4911265973.0,4350893868.0,560372105.0,280323845.0,85814451.0,47832174.0,2585543414.0,551733574.0,1653282220.0,1073395596.0,4862270518.0,1940622789.0,124953903.0,2065576692.0,2666675000.0,2796693826.0,117193983.0,728399476.0,1.33
ANV,2025,0,1.95,MediumRisk,0,0,0,0,0,1,0,0,0,0,0.1715925645917907,-0.1730239778746876,0.4299260142727243,0.8648003406157405,0.3572119671730396,0.6515260277308644,0.1193654549541511,-0.0870520292580595,-0.1401854143208532,0.4154208499837644,0.6515260277308644,6951508258.0,5328575951.0,1622932307.0,378621557.0,71899249.0,999477865.0,3476485728.0,1258074587.0,1421516167.0,1102107621.0,5824715467.0,2230874235.0,66972525.0,2297846759.0,2666675000.0,3526868707.0,0.0,0.0,1.56
API,2023,1,4.9,HighRisk,1,0,0,0,1,1,0,0,0,1,0.0032998094004251,-0.8213543916263937,0.3836727636691284,0.5122616284915031,0.274969040592079,1.4544873132024652,0.0255789403279755,-0.1180548130389926,-0.188270775666077,-0.7531500185808598,1.4544873132024652,193185713.0,136612796.0,56572917.0,23750197.0,42436567.0,-53815188.0,1714186256.0,496577015.0,877474426.0,191294035.0,2285966274.0,1236993133.0,117631487.0,1354624620.0,840839760.0,931341654.0,6198354.0,-61358441.0,1.39
API,2024,0,0.0,LowRisk,0,0,0,0,0,0,0,0,0,0,-0.013750326058676,-1.8241409610513049,0.4310384834883228,-0.2130744851688985,0.3546546276675594,1.3859028201082066,0.0678440463977289,-0.0685844930942585,-0.0482167955513725,0.084865240526353,1.3859028201082066,209580465.0,133987687.0,75592778.0,24837557.0,32494227.0,-22157610.0,1650383882.0,432911251.0,835165421.0,16936410.0,2169582661.0,1077970454.0,182278162.0,1260248616.0,840839760.0,909334044.0,8208019.0,7674859.0,1.53
API,2025,0,1.95,MediumRisk,0,1,0,0,0,0,0,0,0,0,0.0200548459540136,-2.3266964537318024,0.4721591467809326,-0.2677547483320992,0.3261914132336835,1.3789717936635544,0.0708654789749385,-0.0069310264446522,-0.04899368073813,0.2739401546799698,1.3789717936635544,266992970.0,151771710.0,115221260.0,27655744.0,33591556.0,16224492.0,1587406409.0,435588983.0,794247593.0,22756591.0,2225242722.0,1096196339.0,193666347.0,1289862686.0,840839760.0,935380036.0,6417862.0,-28402408.0,1.45
ASA,2018,1,4.9,HighRisk,1,1,0,0,1,0,0,0,0,1,0.270773927408409,,0.413381022108239,-0.4461034938074837,0.0789878368134028,0.1353822411110136,-0.0125820451043064,0.0620505163769799,3.24224795112661,-0.1422898704468589,0.1353822411110136,61554619.0,60857515.0,697104.0,,296931.0,129935.0,76549877.0,8713121.0,66726878.0,1290852.0,117840729.0,14051252.0,,14051252.0,100000000.0,103789477.0,167765.0,-31778262.0,5.45
ASA,2019,1,3.9,HighRisk,1,1,0,0,0,1,0,0,0,0,0.0061752280989618,,0.8524104618354554,4.843247583267109,0.0670631616916741,0.1126069333117523,-0.0051914507408138,-0.0227753077992612,-0.7733090854333092,0.8688413456023504,0.1126069333117523,115035817.0,114330242.0,705574.0,,884420.0,104481.0,74394204.0,58483243.0,15126377.0,1149377.0,115593139.0,11699180.0,,11699180.0,100000000.0,103893958.0,141474.0,-609333.0,6.36
ASA,2020,1,0.0,LowRisk,0,0,0,0,0,0,0,0,0,0,-0.2638246353780212,,0.9529223230925242,-0.0118383323410675,1.294185023166723,0.0014855949815014,-0.0048582646111515,-0.1111213383302508,-0.7559371950071057,0.0252995899529274,0.0014855949815014,117946176.0,117795765.0,150411.0,,938446.0,126318.0,63162280.0,59270501.0,3691786.0,1012529.0,104174809.0,154532.0,,154532.0,100000000.0,104020276.0,136849.0,27610199.0,408.73
ASM,2023,1,6.15,HighRisk,1,1,0,0,1,0,0,0,1,1,0.0297906564778599,-2.482982871657633,0.3343071598809147,0.1125046304253046,0.2927203822292754,1.5947765120275073,-0.029555574190101,0.1602372513930554,0.4290009847288797,-0.1291759070889193,1.5947765120275073,11973153752.0,10632177883.0,1340975870.0,164671561.0,299639711.0,251699371.0,11090130251.0,4132251500.0,4556408773.0,6560647418.0,20307453159.0,8203972541.0,4277198445.0,12481170986.0,3365267520.0,7826282173.0,450585527.0,-353272990.0,1.35
ASM,2024,0,3.9,HighRisk,1,1,0,0,0,1,0,0,0,0,0.053369982808944,-2.4367175873322786,0.3484020118456634,0.2143351511299958,0.5361787987120566,1.826014466976785,0.0026598633883703,0.2312379549492778,-0.0483214871555599,0.0033378121443837,1.826014466976785,12013117890.0,10635712842.0,1377405048.0,218760026.0,296074829.0,250986638.0,13566530227.0,5031730929.0,4336236325.0,6358160567.0,22856055629.0,7830527770.0,6937793030.0,14768320801.0,3701782500.0,8087734828.0,438448735.0,-968840658.0,1.73
ASM,2025,0,3.9,HighRisk,1,1,0,0,0,1,0,0,0,0,0.0065836022742801,-4.7130252165242,0.3742353016180085,0.2743479568874144,0.3438592528053448,1.8596640570407892,0.0064436252004655,0.0336495900640043,0.1121825990422696,-0.0579074827509247,1.8596640570407892,11317468473.0,9946899960.0,1370568514.0,208081694.0,329066748.0,145880692.0,14157655541.0,6120801157.0,4822686586.0,6673551309.0,23507886800.0,9347335492.0,5940044866.0,15287380359.0,4071941830.0,8220506441.0,479456613.0,-8885885.0,1.51
BAF,2023,0,6.15,HighRisk,1,1,0,0,1,0,0,0,1,1,0.0688785879676173,-3.963129592898351,0.4397747141597204,0.00155881351759,0.1494432027208685,2.42377262004497,-0.0081467501226171,0.7100624181147184,0.8064446689530425,-0.2660626495773841,2.42377262004497,5198785295.0,4855521788.0,343263507.0,93220306.0,99534559.0,30325350.0,3148011679.0,1105065761.0,1592961231.0,1617376013.0,6533660696.0,3011074969.0,1614263704.0,4625338672.0,1435200000.0,1908322024.0,104628546.0,-419703973.0,1.05
BAF,2024,0,3.15,HighRisk,1,1,0,0,0,0,0,0,0,1,0.0820069358439539,-0.5751303346410406,0.3245739170595599,-0.6831153904617118,0.156900560074922,1.5373501995138448,0.0609564247235902,-0.8864224205311253,0.3535013765818385,0.0850007095744083,1.5373501995138448,5640685734.0,4924408551.0,716277184.0,76630178.0,137280743.0,318936314.0,3081018990.0,444109706.0,2156075219.0,2394359901.0,7449030045.0,3064578385.0,1448700006.0,4513278391.0,2390216420.0,2935751654.0,165204123.0,-291935815.0,1.01
BAF,2025,0,6.8500000000000005,HighRisk,1,1,0,0,1,1,0,0,0,1,0.0650180784546732,-2.580296610882409,0.3401737688328497,0.7147987173726338,0.2185186498595845,1.6611916368167263,0.0358680510089014,0.1238414373028817,0.2485682100871082,-0.105438135192518,1.6611916368167263,5045942349.0,4224199977.0,821742371.0,214395655.0,247718030.0,100446618.0,4355896471.0,714732655.0,2692006977.0,3447749638.0,10743606603.0,4343596483.0,2362868843.0,6706465326.0,3040216420.0,4037141277.0,244542544.0,-598082039.0,1.0
BCC,2023,0,2.3,MediumRisk,0,0,0,0,0,0,1,0,0,0,-0.0717064173145308,-0.2976934622706202,0.0599377795215099,-0.0801239561299104,0.1084351503849781,1.0486683177691232,-0.0680326480498884,0.1174979010575474,-0.4422064548338638,-0.2695273704604772,1.0486683177691232,3081365372.0,2972422202.0,108943170.0,148083124.0,124874242.0,-233536479.0,611981258.0,77351510.0,337304684.0,2902908409.0,3656713441.0,1819751836.0,52039463.0,1871791300.0,1232098120.0,1784922142.0,317764706.0,28673341.0,0.34
BCC,2024,0,3.5,HighRisk,1,0,0,0,0,0,1,0,0,1,-0.0617681901857812,-1.88310215154106,0.0596853707478449,-0.3418330805449024,0.1049593030292261,0.920527532773908,0.0507609745486635,-0.128140784995215,0.3102504114647871,0.1319587419573299,0.920527532773908,3487978470.0,3187606111.0,300372360.0,176687291.0,116502423.0,-8133426.0,672229544.0,61117413.0,441953601.0,2597590851.0,3412371649.0,1611658282.0,23924651.0,1635582933.0,1232098120.0,1776788716.0,321758211.0,202642595.0,0.42
BCC,2025,0,4.25,HighRisk,1,0,0,0,0,1,1,0,0,0,-0.0847351372951924,-1.185975122597395,0.1324113444650487,0.715617964573795,0.1960967134591549,0.8928229789848222,0.0116453304912696,-0.0277045537890858,-0.1921593416318832,0.0597087332365328,0.8928229789848222,3696241246.0,3334890082.0,361351164.0,182955763.0,122702222.0,25477499.0,773320717.0,108503375.0,357028088.0,2294849355.0,3411370905.0,1569578850.0,39525840.0,1609104691.0,1232098120.0,1802266215.0,318494497.0,314540481.0,0.49
BCM,2023,0,3.3,HighRisk,1,1,0,1,0,0,0,0,0,0,0.1016535321662609,-0.2203867628574492,0.577407805000404,0.1099989807841596,0.0688455750541236,1.7435013268650594,0.1183869417388921,0.0525438445726382,-0.0492668396166675,0.2115137025465752,1.7435013268650594,7882566359.0,3634733023.0,4247833336.0,873156796.0,592087611.0,2280087767.0,28440868532.0,7023976107.0,19833611109.0,1159631560.0,53423901937.0,22997575585.0,10953435483.0,33951011068.0,10350000000.0,19472890869.0,267444334.0,-3150640567.0,1.24
BCM,2024,0,8.2,HighRisk,1,1,0,1,1,1,0,0,0,1,0.0517281268132154,0.2548625904731968,0.5797542832724782,0.4833741862053425,0.1178986082584863,1.8425063259584693,0.1288359602658915,0.0990049990934101,0.0615681262624881,-0.3353387307652604,1.8425063259584693,5239236561.0,1740864190.0,3498372370.0,1067340281.0,646393351.0,2395046491.0,31703966347.0,8063773609.0,21054729382.0,1062168940.0,58780757768.0,21929549417.0,16172008015.0,38101557433.0,10350000000.0,20679200335.0,262181937.0,-645572001.0,1.45
BCM,2025,0,3.3,HighRisk,1,1,0,1,0,0,0,0,0,0,0.0604793532274455,0.3100938709809056,0.5782924807125245,-0.5238659645596118,0.1253678208836814,1.612139569933592,-0.0689395348321659,-0.2303667560248774,0.054054286205786,0.326710659476939,1.612139569933592,6950950993.0,2788818407.0,4162132586.0,1001067869.0,735339913.0,3516021531.0,31384545366.0,6473957863.0,22192827750.0,774860862.0,60908205783.0,21678288207.0,15912554873.0,37590843080.0,10350000000.0,23317362703.0,227805679.0,-167667361.0,1.45
BII,2021,0,2.75,MediumRisk,0,1,1,0,0,0,0,0,0,0,0.1334665862494117,1.1384071008219183,0.6036756616845657,-6.204449775993327,0.0148259569721735,0.5600881798541529,-0.0058789824307047,-0.2354518934748565,-0.5148564133317987,6.107587425203604,0.5600881798541529,493008107.0,488234157.0,4773949.0,1146618.0,8141266.0,32613464.0,448562048.0,401402812.0,41879077.0,349404678.0,1000604494.0,356142879.0,3084732.0,359227611.0,576800000.0,641376883.0,3046071.0,-100933802.0,1.26
BII,2022,1,4.25,HighRisk,1,0,0,0,0,1,1,0,0,0,-0.165148529212894,-0.3670287927513248,0.6059965131246868,0.6322266409230293,0.0075601269390114,0.8659989104365096,-0.0085615298291885,0.3059107305823566,-0.7296415582416012,-0.6434885724911619,0.8659989104365096,175763024.0,175565857.0,197167.0,1082975.0,73999028.0,-118306860.0,411504558.0,396882241.0,11322362.0,369944035.0,976048093.0,436494655.0,16483415.0,452978070.0,576800000.0,523070023.0,11360119.0,42886047.0,0.94
BMP,2023,0,0.0,LowRisk,0,0,0,0,0,0,0,0,0,0,-0.172606019300035,-0.2807317638095483,0.16876764343583,-0.263491799987873,3.763882916658533,0.2101594434914707,0.1336141471019467,0.0486096840101924,-0.3685930739773081,-0.1121421119249665,0.2101594434914707,5156984370.0,3040564400.0,2116419970.0,676251353.0,106918740.0,1041006333.0,2593900148.0,174027942.0,364225974.0,285789886.0,3255000928.0,546150419.0,19121527.0,565271946.0,818609380.0,2689728982.0,172108698.0,1602839086.0,4.75
BMP,2024,0,1.2,LowRisk,0,0,0,0,0,0,0,0,0,1,0.0281852512428377,-0.3253137223268744,0.1615172946298666,0.126369195901444,4.063988674732675,0.1846232104496363,0.0204429503561514,-0.0255362330418343,0.2727919453652144,-0.10496555257157,0.1846232104496363,4615678656.0,2627051788.0,1988626868.0,555916199.0,119640554.0,990761729.0,2596113209.0,177752774.0,463583886.0,265199251.0,3200494976.0,480999507.0,17796779.0,498796286.0,818609380.0,2701698691.0,111113116.0,900554974.0,5.4
BMP,2025,0,0.0,LowRisk,0,0,0,0,0,0,0,0,0,0,0.0038250256059517,-0.3533260658492388,0.1430116778849709,-0.4669439784924164,4.351087366887402,0.1742426120607789,0.0300945378602833,-0.0103805983888573,0.1319019639090734,0.1936658466979725,0.1742426120607789,5509577971.0,2970013794.0,2539564177.0,710594835.0,166090003.0,1228735174.0,2758363783.0,129176828.0,524731511.0,266433974.0,3378833590.0,483661960.0,17713807.0,501375767.0,818609380.0,2877457822.0,92525120.0,1215811049.0,5.7
BWE,2023,0,1.2,LowRisk,0,0,0,0,0,0,0,0,0,1,-0.0320456414402052,-0.4365170750619923,0.4668489778400829,-0.1561668421832701,0.4201301491452764,1.442045295739574,0.0355477617944129,0.2411533391749571,0.2933448610149632,0.0121103831408751,1.442045295739574,3525936182.0,1962320990.0,1563615192.0,370124454.0,213812575.0,681981565.0,2705825961.0,780691723.0,923220324.0,4537573374.0,12121720382.0,2384770329.0,4773192663.0,7157962992.0,2550542364.0,4963757389.0,545660439.0,1070429870.0,1.13
BWE,2024,0,3.2,HighRisk,1,0,0,0,0,1,0,0,1,0,-0.0059470025905921,-0.5897768245308547,0.4562377215794515,1.0700611909319444,0.4498331596014445,1.5757708817079727,-0.0156373079707964,0.1337255859683987,0.3356614406595321,0.1228217468060798,1.5757708817079727,3958997823.0,2265244750.0,1693753073.0,382326744.0,261250567.0,660580621.0,4473573577.0,1711965559.0,1233109788.0,4959558235.0,14199525343.0,3397922535.0,5288874389.0,8686796923.0,2199286440.0,5512728420.0,635676125.0,745025235.0,1.32
